section,step,protocol,subject,fold,tail_balanced_acc,best_balanced_acc,last_balanced_acc,final_train_acc,status,env,source_log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",1.0,0.0,0.4631,0.5357,0.4821,0.9956,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",1.0,1.0,0.4316,0.4679,0.4286,0.9738,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",1.0,2.0,0.4904,0.5833,0.4667,0.9956,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",1.0,3.0,0.4348,0.55,0.4071,0.9698,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",1.0,4.0,0.4799,0.5429,0.4702,1.0,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",2.0,0.0,0.4698,0.5,0.481,0.987,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",2.0,1.0,0.4645,0.55,0.4488,0.9738,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",2.0,2.0,0.4707,0.5405,0.5048,0.9956,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",2.0,3.0,0.5064,0.6226,0.5262,0.9784,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",2.0,4.0,0.4281,0.4881,0.4524,0.9741,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",3.0,0.0,0.5892,0.6381,0.6226,0.9698,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",3.0,1.0,0.5125,0.5869,0.5012,0.9913,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",3.0,2.0,0.4075,0.4857,0.3286,0.9869,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",3.0,3.0,0.4678,0.525,0.4345,0.9654,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",3.0,4.0,0.4464,0.5429,0.4429,0.9871,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",4.0,0.0,0.4114,0.5131,0.3738,0.9781,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",4.0,1.0,0.3776,0.45,0.3464,0.9869,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",4.0,2.0,0.4194,0.4667,0.431,0.9869,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",4.0,3.0,0.415,0.4607,0.4238,0.9827,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",4.0,4.0,0.3537,0.4214,0.3321,0.9654,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",5.0,0.0,0.4065,0.4798,0.3964,0.9696,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",5.0,1.0,0.4351,0.5393,0.4155,0.9913,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",5.0,2.0,0.3645,0.431,0.3595,0.9869,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
Experiment C,C0,"stamp_induced flat weights, 5-fold CV, dropout 0",5.0,3.0,0.4281,0.4726,0.4012,0.9784,measured,"base, no mne (presumed: default python, no stderr kept)",output/experiment_c/mesae_finetune_c0/artifacts/train_20260919_032928.log
